network,scale,jsz22_sfc_time_s,jsz22_sfc_comm_MB,jsz22_sfs_time_s,jsz22_sfs_comm_MB
LAN,2^8,7.689,2.151,14.516,4.280
LAN,2^10,7.785,2.396,14.892,4.783
LAN,2^12,7.651,3.483,14.644,6.989
LAN,2^14,8.247,8.350,15.773,16.887
LAN,2^16,9.234,29.566,19.263,59.937
LAN,2^18,19.297,123.299,36.535,253.780
LAN,2^20,74.886,526.209,OOM,OOM
LAN,2^22,OOM,OOM,OOM,OOM
WAN,2^8,8.649,2.151,17.142,4.280
WAN,2^10,9.538,2.396,16.827,4.783
WAN,2^12,8.649,3.483,18.108,6.989
WAN,2^14,10.143,8.350,19.583,16.887
WAN,2^16,13.500,29.566,26.162,59.937
WAN,2^18,30.667,123.299,59.397,253.780
WAN,2^20,109.174,526.209,OOM,OOM
WAN,2^22,OOM,OOM,OOM,OOM
