scenario,rate,rtt_ms,oneway_delay,logn,ns,nr,cuckoolen,status,offline_s,online_s,total_s,offline_comm_bytes,online_comm_bytes,total_comm_bytes,total_comm_mb,result_size,console_log
lan_10gbps_0p02ms,10gbit,0.02,10us,8,256,256,325,ok,0.0604362,0.0684285,0.128865,226018,140814,366832,0.349838,266,/home/lgw/yacl/examples/linerpsu/results/psu_net_20260526_180550/lan_10gbps_0p02ms_logn8.log
lan_10gbps_0p02ms,10gbit,0.02,10us,10,1024,1024,1300,ok,0.0817225,0.065728,0.147451,498418,354008,852426,0.812937,1034,/home/lgw/yacl/examples/linerpsu/results/psu_net_20260526_180550/lan_10gbps_0p02ms_logn10.log
lan_10gbps_0p02ms,10gbit,0.02,10us,12,4096,4096,5201,ok,0.142425,0.0716358,0.21406,1585778,1031040,2616818,2.495592,4106,/home/lgw/yacl/examples/linerpsu/results/psu_net_20260526_180550/lan_10gbps_0p02ms_logn12.log
lan_10gbps_0p02ms,10gbit,0.02,10us,14,16384,16384,20807,ok,0.238367,0.0994499,0.337816,5643076,3656830,9299906,8.869081,16394,/home/lgw/yacl/examples/linerpsu/results/psu_net_20260526_180550/lan_10gbps_0p02ms_logn14.log
lan_10gbps_0p02ms,10gbit,0.02,10us,16,65536,65536,83230,ok,0.656889,0.209596,0.866485,21888186,13909321,35797507,34.139163,65546,/home/lgw/yacl/examples/linerpsu/results/psu_net_20260526_180550/lan_10gbps_0p02ms_logn16.log
lan_10gbps_0p02ms,10gbit,0.02,10us,18,262144,262144,332922,ok,2.66493,0.752528,3.41746,86803090,54462149,141265239,134.721030,262154,/home/lgw/yacl/examples/linerpsu/results/psu_net_20260526_180550/lan_10gbps_0p02ms_logn18.log
lan_10gbps_0p02ms,10gbit,0.02,10us,20,1048576,1048576,1331691,ok,9.87661,4.19488,14.0715,346560994,215856723,562417717,536.363332,1048586,/home/lgw/yacl/examples/linerpsu/results/psu_net_20260526_180550/lan_10gbps_0p02ms_logn20.log
lan_10gbps_0p02ms,10gbit,0.02,10us,22,4194304,4194304,5326766,ok,39.0454,20.9678,60.0132,1385893234,859856091,2245749325,2141.713452,4194314,/home/lgw/yacl/examples/linerpsu/results/psu_net_20260526_180550/lan_10gbps_0p02ms_logn22.log
wan_100mbps_80ms,100mbit,80,40ms,8,256,256,325,ok,1.18402,1.17039,2.35441,226018,140814,366832,0.349838,266,/home/lgw/yacl/examples/linerpsu/results/psu_net_20260526_180550/wan_100mbps_80ms_logn8.log
wan_100mbps_80ms,100mbit,80,40ms,10,1024,1024,1300,ok,1.2312,1.4756,2.70679,498418,354008,852426,0.812937,1034,/home/lgw/yacl/examples/linerpsu/results/psu_net_20260526_180550/wan_100mbps_80ms_logn10.log
wan_100mbps_80ms,100mbit,80,40ms,12,4096,4096,5201,ok,1.48731,1.72742,3.21473,1585778,1031040,2616818,2.495592,4106,/home/lgw/yacl/examples/linerpsu/results/psu_net_20260526_180550/wan_100mbps_80ms_logn12.log
wan_100mbps_80ms,100mbit,80,40ms,14,16384,16384,20807,ok,2.43752,2.20029,4.63781,5600604,3656830,9257434,8.828577,16394,/home/lgw/yacl/examples/linerpsu/results/psu_net_20260526_180550/wan_100mbps_80ms_logn14.log
wan_100mbps_80ms,100mbit,80,40ms,16,65536,65536,83230,ok,5.73229,3.45453,9.18681,21659924,13909321,35569245,33.921475,65546,/home/lgw/yacl/examples/linerpsu/results/psu_net_20260526_180550/wan_100mbps_80ms_logn16.log
wan_100mbps_80ms,100mbit,80,40ms,18,262144,262144,332922,ok,13.7659,7.46945,21.2354,85628741,54462149,140090890,133.601084,262154,/home/lgw/yacl/examples/linerpsu/results/psu_net_20260526_180550/wan_100mbps_80ms_logn18.log
wan_100mbps_80ms,100mbit,80,40ms,20,1048576,1048576,1331691,ok,44.2959,24.0045,68.3004,341387302,215856723,557244025,531.429315,1048586,/home/lgw/yacl/examples/linerpsu/results/psu_net_20260526_180550/wan_100mbps_80ms_logn20.log
wan_100mbps_80ms,100mbit,80,40ms,22,4194304,4194304,5326766,ok,173.65,94.417,268.067,1365144703,859856091,2225000794,2121.926111,4194314,/home/lgw/yacl/examples/linerpsu/results/psu_net_20260526_180550/wan_100mbps_80ms_logn22.log
